380.0, 0.0065672,
390.0, 0.0201134,
400.0, 0.0684916,
410.0, 0.2056500,
420.0, 0.6458823,
430.0, 1.3856115,
440.0, 1.7401926,
450.0, 1.7726892,
460.0, 1.6692929,
470.0, 1.2880121,
480.0, 0.8128409,
490.0, 0.4650738,
500.0, 0.2720063,
510.0, 0.1581680,
520.0, 0.0782549,
530.0, 0.0421426,
540.0, 0.0203624,
550.0, 0.0087671,
560.0, 0.0038558,
570.0, 0.0020595,
580.0, 0.0015374,
590.0, 0.0011600,
600.0, 0.0007621,
610.0, 0.0003765,
620.0, 0.0001977,
630.0, 0.0000907,
640.0, 0.0000311,
650.0, 0.0000039,
660.0, 0.0,
670.0, 0.0,
680.0, 0.0,
690.0, 0.0,
700.0, 0.0,
710.0, 0.0,
720.0, 0.0,
730.0, 0.0,
740.0, 0.0,
750.0, 0.0,
760.0, 0.0,
770.0, 0.0
