380.0, 0.0013928,
390.0, 0.0042563,
400.0, 0.0144416,
410.0, 0.0431500,
420.0, 0.1344313,
430.0, 0.2839478,
440.0, 0.3468990,
450.0, 0.3362033,
460.0, 0.2909090,
470.0, 0.1953823,
480.0, 0.0956345,
490.0, 0.0320108,
500.0, 0.0049194,
510.0, 0.0093197,
520.0, 0.0632681,
530.0, 0.1654689,
540.0, 0.2903863,
550.0, 0.4334710,
560.0, 0.5944697,
570.0, 0.7621835,
580.0, 0.9162317,
590.0, 1.0265858,
600.0, 1.0619702,
610.0, 1.0028369,
620.0, 0.8544512,
630.0, 0.6424434,
640.0, 0.4478554,
650.0, 0.2835212,
660.0, 0.1649259,
670.0, 0.0874030,
680.0, 0.0467659,
690.0, 0.0226734,
700.0, 0.0113525,
710.0, 0.0058147,
720.0, 0.0029073,
730.0, 0.0014398,
740.0, 0.0006922,
750.0, 0.0003323,
760.0, 0.0001661,
770.0, 0.0000831
